min,CH1,CH2,CH40,CH41,CH42,
54.0587,6.82572,0.0366211,6.86522,27.2727,-44159.3,
54.0588,6.82762,0.0427246,6.86467,27.2727,-55153.6,
54.0588,6.82953,0.0457764,6.86403,27.2727,-64464.8,
54.0588,6.83334,0.0427246,6.86331,27.2727,-71840.6,
54.0589,6.8381,0.0335693,6.86254,27.2727,-76968,
54.0589,6.84477,0.0305176,6.86175,27.2727,-79478.8,
54.0589,6.85143,0.0488281,6.86095,27.2727,-79136.1,
54.059,6.85905,0.0396729,6.8602,27.2727,-75913.9,
54.059,6.86763,0.0518799,6.8595,27.2727,-69799.3,
54.059,6.87525,0.0366211,6.85889,27.2727,-60881.3,
54.0591,6.88382,0.0335693,6.85839,27.2727,-49432.1,
54.0591,6.89144,0.0305176,6.85804,27.2727,-35710.1,
54.0591,6.89716,0.0396729,6.85783,27.2727,-20230.5,
54.0592,6.90287,0.0366211,6.8578,27.2727,-3651.08,
54.0592,6.90668,0.0427246,6.85793,27.2727,13512,
54.0592,6.90859,0.0396729,6.85824,27.2727,30604.3,
54.0593,6.90859,0.0427246,6.85871,27.2727,46847.3,
54.0593,6.90668,0.0366211,6.85932,27.2727,61532.1,
54.0593,6.90383,0.0366211,6.86006,27.2727,74105.8,
54.0594,6.89811,0.0335693,6.8609,27.2727,84070.4,
54.0594,6.89049,0.0366211,6.86181,27.2727,90800.2,
54.0594,6.88192,0.0457764,6.86275,27.2727,93825.1,
54.0595,6.87334,0.0366211,6.86368,27.2727,93088.6,
54.0595,6.86287,0.0366211,6.86457,27.2727,88643.6,
54.0595,6.85334,0.0366211,6.86537,27.2727,80552.1,
54.0596,6.84381,0.0488281,6.86607,27.2727,69154.8,
54.0596,6.83524,0.0366211,6.86661,27.2727,54955.9,
54.0596,6.82667,0.0488281,6.867,27.2727,38427.3,
54.0597,6.82,0.0274658,6.8672,27.2727,20099.4,
54.0597,6.81524,0.0335693,6.86721,27.2727,734.48,
54.0597,6.81238,0.0335693,6.86702,27.2727,-18786.2,
54.0598,6.81047,0.0427246,6.86664,27.2727,-37745.8,
54.0598,6.81143,0.0396729,6.86609,27.2727,-55490.4,
54.0598,6.81333,0.0457764,6.86537,27.2727,-71336.4,
54.0599,6.81714,0.0396729,6.86453,27.2727,-84755.5,
54.0599,6.82286,0.0366211,6.86357,27.2727,-95273.4,
54.0599,6.82953,0.0335693,6.86255,27.2727,-102467,
54.06,6.83715,0.0305176,6.86149,27.2727,-106142,
54.06,6.84572,0.0366211,6.86043,27.2727,-106224,
54.06,6.85429,0.0396729,6.8594,27.2727,-102749,
54.0601,6.86382,0.0396729,6.85844,27.2727,-95850.5,
54.0601,6.87334,0.0396729,6.85758,27.2727,-85667.3,
54.0601,6.88287,0.0366211,6.85686,27.2727,-72426.9,
54.0602,6.89239,0.0335693,6.85629,27.2727,-56439.3,
54.0602,6.90097,0.0427246,6.85591,27.2727,-38088.4,
54.0602,6.90859,0.0335693,6.85573,27.2727,-17914.6,
54.0603,6.91621,0.0427246,6.85577,27.2727,3581,
54.0603,6.92192,0.0335693,6.85603,27.2727,25934.7,
54.0603,6.92573,0.0366211,6.85651,27.2727,48449.3,
54.0604,6.92859,0.0335693,6.85722,27.2727,70396,
54.0604,6.92859,0.0427246,6.85813,27.2727,91110.2,
54.0604,6.92669,0.0366211,6.85923,27.2727,109809,
54.0605,6.92192,0.0396729,6.86048,27.2727,125692,
54.0605,6.91621,0.0305176,6.86186,27.2727,138131,
54.0605,6.90764,0.0335693,6.86333,27.2727,146649,
54.0606,6.89906,0.0305176,6.86484,27.2727,150920,
54.0606,6.88858,0.0335693,6.86635,27.2727,150838,
54.0606,6.87906,0.0396729,6.86781,27.2727,146503,
54.0607,6.86953,0.0305176,6.8692,27.2727,138294,
54.0607,6.86096,0.0427246,6.87046,27.2727,126751,
54.0607,6.85429,0.0335693,6.87159,27.2727,112561,
54.0608,6.84858,0.0305176,6.87256,27.2727,96543,
54.0608,6.84477,0.0274658,6.87335,27.2727,79452.3,
54.0608,6.84286,0.0457764,6.87397,27.2727,62075,
54.0609,6.84191,0.0335693,6.87442,27.2727,45130.9,
54.0609,6.84286,0.0427246,6.87471,27.2727,29187.2,
54.0609,6.84572,0.0305176,6.87486,27.2727,14848.9,
54.061,6.84858,0.0366211,6.87489,27.2727,2573.67,
54.061,6.85334,0.0274658,6.87481,27.2727,-7407.63,
54.061,6.85905,0.0335693,6.87467,27.2727,-14802.4,
54.0611,6.86477,0.0335693,6.87447,27.2727,-19442.7,
54.0611,6.87144,0.0366211,6.87426,27.2727,-21365.3,
54.0611,6.87715,0.0335693,6.87405,27.2727,-20704,
54.0612,6.88477,0.0366211,6.87388,27.2727,-17591.1,
54.0612,6.89144,0.0366211,6.87375,27.2727,-12066.8,
54.0612,6.89811,0.0335693,6.87371,27.2727,-4357.04,
54.0613,6.90478,0.0366211,6.87376,27.2727,5233.2,
54.0613,6.91049,0.0335693,6.87393,27.2727,16417.8,
54.0613,6.91716,0.0366211,6.87422,27.2727,28928.9,
54.0614,6.92192,0.0305176,6.87464,27.2727,42516.5,
54.0614,6.92764,0.0274658,6.87521,27.2727,56857.6,
54.0614,6.93145,0.0274658,6.87593,27.2727,71654.2,
54.0615,6.93335,0.0427246,6.87679,27.2727,86361.5,
54.0615,6.93526,0.0366211,6.87779,27.2727,100392,
54.0615,6.93431,0.0457764,6.87893,27.2727,113299,
54.0616,6.9324,0.0305176,6.88017,27.2727,124501,
54.0616,6.92764,0.0335693,6.88151,27.2727,133380,
